count(*),ticker_id,ticker
92,15094,HVT.A
69,15159,JMPE
58,15185,LGC.U
33,15191,LHC.U
99,15242,MOSC
97,15248,NTEST
19,15261,NFC.U
63,15290,JHD
66,15296,CTEST
78,15344,PVT
46,15345,PVT.U
86,15349,PVTL
66,15354,PPDF
44,15405,RWGE
70,15434,RMG.U
85,15522,SBE.U
58,15560,TPGH
85,15624,WSO.B
